Feature,Importance
cat__area_type_Carpet  Area,1.0727866050371415e-07
cat__location_8th Phase JP Nagar,1.0614771784611712e-07
cat__location_Vijayanagar,1.0547323063408186e-07
cat__location_Harlur,1.0261098143514118e-07
cat__location_BTM 1st Stage,1.002774074674389e-07
cat__location_Hulimavu,9.860812203438191e-08
cat__location_Basaveshwara Nagar,9.749741432829655e-08
cat__location_Chikka Tirupathi,9.547650366094301e-08
cat__location_Electronic City,8.542288946560973e-08
cat__location_Hosa Road,8.240120813620443e-08
cat__location_Kodigehaali,8.20403498291778e-08
cat__availability_17-May,8.075446071619637e-08
cat__location_Vidyaranyapura,8.032703447802927e-08
cat__location_Magadi Road,7.609233280071763e-08
cat__location_Yeshwanthpur,7.59666640726848e-08
cat__location_Begur Road,7.42389316324606e-08
cat__location_Kodichikkanahalli,7.417118910153804e-08
cat__location_Ardendale,7.301751113837334e-08
cat__location_Vishwapriya Layout,7.138674626587378e-08
cat__location_Murugeshpalya,6.940575228802979e-08
cat__location_Lakshminarayana Pura,6.791216478222489e-08
cat__location_Kaggalipura,6.66881975438257e-08
cat__location_Shivaji Nagar,6.333495030925661e-08
cat__location_Rachenahalli,6.121794605168071e-08
cat__location_Anekal,5.771702039989676e-08
cat__location_Cox Town,5.5255808275381496e-08
cat__location_Attibele,5.220603971610907e-08
cat__location_TC Palaya,5.196568571148255e-08
cat__location_Kasturi Nagar,4.992920600318664e-08
cat__location_Mysore Road,4.873049200986418e-08
cat__location_Binny Pete,4.850875795682183e-08
cat__location_Doddaballapur,4.785052558170639e-08
cat__location_Hoodi,4.74499763371041e-08
cat__location_Kudlu Gate,4.668454055864434e-08
cat__location_Raja Rajeshwari Nagar,4.625975389906823e-08
cat__availability_22-May,4.376886239766241e-08
cat__location_Akshaya Nagar,4.205842542427543e-08
cat__location_Electronics City Phase 1,3.8376932638301455e-08
cat__location_Nehru Nagar,3.830118009901286e-08
cat__location_Uttarahalli,3.806164161954656e-08
cat__location_Gubbalala,3.7649617671977386e-08
cat__location_HSR Layout,3.6259902897187386e-08
cat__location_Kalyan nagar,3.5949882052047895e-08
cat__location_Talaghattapura,3.5588986092888674e-08
cat__location_Gottigere,3.5582080991276206e-08
cat__location_Kaval Byrasandra,3.4494599782445004e-08
cat__location_Margondanahalli,3.432583137397228e-08
cat__location_Neeladri Nagar,3.384858969575549e-08
cat__location_Nagarbhavi,3.381816750722479e-08
cat__location_Karuna Nagar,3.3736835292632145e-08
cat__location_Kaggadasapura,3.283335792715709e-08
cat__location_Battarahalli,2.835776471967533e-08
cat__location_Horamavu Agara,2.781695813091972e-08
cat__location_Dasanapura,2.6728213902752156e-08
cat__location_Bommasandra Industrial Area,2.658924856703673e-08
cat__location_Nagavarapalya,2.5510851983040844e-08
cat__availability_21-Jul,2.5421959916318222e-08
cat__location_Prithvi Layout,2.4340977574604356e-08
cat__availability_21-Dec,2.369186649209444e-08
cat__availability_19-Jun,2.357953348018113e-08
cat__location_6th Phase JP Nagar,2.3187548114054836e-08
cat__location_HRBR Layout,2.2244524908001964e-08
cat__availability_17-Jun,2.209512443585812e-08
cat__location_Kundalahalli,2.151214464658314e-08
cat__location_Kenchenahalli,2.0859496350916583e-08
cat__location_Mico Layout,2.0592289551135423e-08
cat__availability_17-Aug,2.0225963112525498e-08
cat__location_Nagappa Reddy Layout,1.962273021941267e-08
cat__location_Kodihalli,1.9561785844701388e-08
cat__location_Bommanahalli,1.9284112036232015e-08
cat__location_Dommasandra,1.8530272815179448e-08
cat__location_Green Glen Layout,1.638906396179436e-08
cat__location_Pai Layout,1.580494225535866e-08
cat__availability_18-Nov,1.4704577060547236e-08
cat__location_Rajiv Nagar,1.403444995167476e-08
cat__location_Jalahalli,1.3509346773387676e-08
cat__location_Chikkabanavar,1.3456830177416856e-08
cat__location_Subramanyapura,1.3223214903285768e-08
cat__availability_16-Mar,1.2760135239063518e-08
cat__location_Anjanapura,1.2726639544439487e-08
cat__location_Konanakunte,1.2705885413604684e-08
cat__location_Bannerghatta,1.2574809493846857e-08
cat__location_Sector 2 HSR Layout,1.0711858188835032e-08
cat__location_Kammasandra,1.0613820301906854e-08
cat__availability_21-Jun,1.0347059678164572e-08
cat__location_Somasundara Palya,9.571879710070323e-09
cat__location_Yelachenahalli,9.533825613395932e-09
cat__location_Arekere,9.530913444747632e-09
cat__location_Rayasandra,9.335547811218198e-09
cat__location_NRI Layout,8.964558649094497e-09
cat__location_Ganga Nagar,8.81152736833788e-09
cat__location_Jalahalli East,8.433001375657662e-09
cat__availability_16-Jul,7.397458304289416e-09
cat__availability_19-Aug,7.380545564871186e-09
cat__availability_21-Aug,7.3142011583705895e-09
cat__location_Budigere,6.81313923954814e-09
cat__location_EPIP Zone,6.534015328358141e-09
cat__location_Laggere,6.459020416634858e-09
cat__location_Sarjapura - Attibele Road,5.315743139316565e-09
cat__availability_19-May,5.256766130265444e-09
cat__availability_19-Oct,4.672700867383601e-09
cat__location_Kanakapura,4.583611039221596e-09
cat__location_Kalena Agrahara,4.1923396033513226e-09
cat__availability_20-Sep,3.926557923695951e-09
cat__availability_20-Jan,3.810244050720202e-09
cat__location_Badavala Nagar,3.4368477505212266e-09
cat__location_Lingadheeranahalli,3.2142607138584713e-09
cat__location_Bhoganhalli,3.2109305533037953e-09
cat__location_Bharathi Nagar,3.1386218261352105e-09
cat__location_Doddathoguru,2.7619110097918005e-09
cat__location_Bisuvanahalli,2.5673651010488854e-09
cat__availability_21-May,2.3361208890059287e-09
cat__location_Chikkalasandra,2.318572829890726e-09
cat__location_Balagere,2.2228821986909606e-09
cat__availability_18-Sep,2.088284023155189e-09
cat__availability_18-Oct,2.0189152920826962e-09
cat__availability_19-Apr,1.930661082224922e-09
cat__location_Kothannur,1.7155721726243002e-09
cat__location_Marsur,1.6780506516658648e-09
cat__availability_20-Jul,1.6755174102151034e-09
cat__location_Kannamangala,1.4838171716626142e-09
cat__location_Horamavu Banaswadi,1.0579292085468226e-09
cat__location_Vasanthapura,9.60055503184515e-10
cat__location_Pattandur Agrahara,9.334144550398991e-10
cat__location_Naganathapura,8.155536191688036e-10
cat__location_Gollarapalya Hosahalli,7.380791150313669e-10
cat__location_Ananth Nagar,7.239599203044547e-10
cat__availability_20-Aug,6.90862063729652e-10
cat__location_Kathriguppe,5.383013863222304e-10
cat__location_GM Palaya,7.329969826846725e-11
cat__availability_19-Sep,1.6003076065251107e-11
cat__availability_16-Dec,0.0
cat__availability_15-Oct,0.0
cat__availability_15-Jun,0.0
cat__location_BTM Layout,0.0
cat__location_Banjara Layout,0.0
cat__location_Banashankari Stage V,0.0
cat__location_Anandapura,0.0
cat__location_Abbigere,0.0
cat__availability_15-Nov,0.0
cat__location_Varthur Road,0.0
cat__location_Gunjur Palya,0.0
cat__location_Hennur,0.0
cat__location_Doddakallasandra,0.0
cat__location_5th Block Hbr Layout,0.0
cat__availability_22-Mar,0.0
cat__availability_22-Nov,0.0
cat__location_ Devarachikkanahalli,0.0
cat__location_2nd Phase Judicial Layout,0.0
cat__location_Bommenahalli,0.0
cat__location_BEML Layout,0.0
cat__availability_22-Jun,0.0
cat__location_Dasarahalli,0.0
cat__location_AECS Layout,0.0
cat__location_Basapura,0.0
cat__availability_14-Jul,0.0
cat__availability_14-Nov,0.0
cat__availability_15-Dec,0.0
cat__location_Babusapalaya,0.0
cat__location_Yelenahalli,0.0
cat__location_Vittasandra,0.0
cat__availability_22-Jan,0.0
cat__availability_21-Mar,0.0
cat__availability_21-Feb,0.0
cat__availability_21-Jan,0.0
cat__availability_20-Oct,0.0
cat__availability_20-Nov,0.0
cat__availability_21-Sep,0.0
cat__availability_22-Dec,0.0
cat__availability_21-Nov,0.0
cat__location_Kaikondrahalli,0.0
cat__location_Kalkere,0.0
cat__location_Kambipura,0.0
cat__location_Malleshpalya,0.0
cat__location_Mallasandra,0.0
cat__location_LB Shastri Nagar,0.0
cat__location_Kudlu,0.0
cat__availability_20-Mar,0.0
cat__availability_20-Jun,0.0
cat__availability_19-Nov,0.0
cat__availability_20-Feb,0.0
cat__location_Kogilu,0.0
cat__location_Kereguddadahalli,0.0
cat__location_Kengeri Satellite Town,0.0
cat__availability_21-Oct,0.0
cat__availability_19-Feb,0.0
cat__location_Munnekollal,0.0
cat__location_NGR Layout,0.0
cat__location_Nagadevanahalli,0.0
cat__location_Poorna Pragna Layout,0.0
cat__location_Parappana Agrahara,0.0
cat__location_Panathur,0.0
cat__location_Narayanapura,0.0
cat__availability_16-Oct,0.0
cat__availability_17-Dec,0.0
cat__availability_16-Sep,0.0
cat__availability_17-Apr,0.0
cat__availability_17-Feb,0.0
cat__availability_17-Mar,0.0
cat__availability_17-Oct,0.0
cat__availability_17-Sep,0.0
cat__location_Seegehalli,0.0
cat__location_Sonnenahalli,0.0
cat__location_Sompura,0.0
cat__location_Thubarahalli,0.0
